97	71	6	59	45
83	56	73	11	48
29	79	97	12	76
62	13	97	2	24
72	18	26	73	98
49	5	27	92	57
23	61	25	25	55
11	64	92	24	65
23	98	18	94	16
40	6	93	96	83
36	76	16	93	7
25	28	93	71	85
34	52	42	56	69
3	11	26	60	66
84	57	86	68	89
69	25	76	57	81
59	83	88	42	32
26	27	18	84	38
78	10	28	19	75
93	74	13	77	41
74	44	63	6	75
41	16	82	42	39
54	99	48	69	45
76	33	3	12	59
97	94	72	11	11
79	64	64	34	63
90	65	53	10	93
66	5	37	39	72
38	6	76	1	95
15	9	79	22	15
65	87	17	62	50
69	52	26	84	17
40	33	26	94	51
70	16	35	93	36
95	15	70	92	71
43	31	3	70	62
70	51	40	54	37
54	17	19	31	56
14	100	24	79	65
3	71	61	88	19
34	92	92	60	29
100	38	83	11	95
23	53	73	90	18
96	34	31	76	8
81	6	42	32	19
59	24	50	21	8
11	49	96	100	87
61	55	45	82	15
94	51	14	7	84
43	85	13	21	64
21	62	13	65	32
19	33	52	14	6
36	76	31	75	40
60	73	31	48	36
99	33	64	84	72
21	71	23	29	67
64	5	11	96	61
43	81	84	48	86
16	46	50	31	24
98	90	57	5	35
40	46	46	72	45
29	82	61	18	96
71	96	89	41	48
56	16	94	34	27
33	56	96	11	9
30	97	13	65	9
57	94	30	65	25
29	30	51	27	4
28	35	77	24	30
29	41	15	96	94
43	12	35	95	36
48	3	22	84	10
46	88	55	35	5
22	47	19	57	68
84	82	71	54	36
84	80	99	69	43
41	19	69	59	84
80	37	12	35	85
78	60	8	27	12
58	25	94	4	25
6	21	79	83	96
15	10	70	95	95
50	33	2	78	46
41	40	39	31	26
70	52	79	8	42
34	27	93	96	32
31	65	73	60	13
35	64	20	18	53
65	87	47	17	57
50	4	48	85	65
42	17	92	57	20
54	8	25	71	66
67	83	26	71	93
54	63	18	36	14
99	23	71	92	98
95	78	16	56	35
14	30	3	17	98
83	56	19	78	49
91	74	74	58	43
88	87	96	95	25
16	31	29	89	91
2	32	35	62	23
2	79	29	48	95
93	8	71	15	65
29	78	26	68	71
97	1	10	32	5
51	89	87	25	28
67	98	44	59	43
9	62	64	94	15
67	22	32	87	21
78	39	29	42	74
59	11	74	71	40
8	60	1	19	58
7	70	74	94	95
48	46	43	33	57
44	15	52	75	35
33	80	77	74	41
57	51	85	61	70
12	25	9	34	36
50	99	67	29	65
64	72	23	66	84
4	93	56	88	94
15	16	26	58	76
81	24	41	38	7
49	47	13	95	54
43	97	50	33	32
67	80	74	76	83
25	52	38	46	14
32	2	61	35	12
57	75	34	45	19
72	16	46	8	19
94	38	19	87	79
47	11	36	94	100
17	9	34	58	81
